16.06.2024 11:15:20.869 [main] DEBUG  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [TransferMoneyApplicationTests]: using SpringBootContextLoader
16.06.2024 11:15:20.873 [main] DEBUG  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.ekimtsovss.transferMoney.TransferMoneyApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
16.06.2024 11:15:20.874 [main] INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.ekimtsovss.transferMoney.TransferMoneyApplicationTests]: TransferMoneyApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16.06.2024 11:15:20.907 [main] DEBUG  o.s.b.t.c.SpringBootTestContextBootstrapper - Using ContextCustomizers for test class [TransferMoneyApplicationTests]: [ExcludeFilterContextCustomizer, DuplicateJsonObjectContextCustomizer, MockitoContextCustomizer, TestRestTemplateContextCustomizer, DisableObservabilityContextCustomizer, PropertyMappingContextCustomizer, WebDriverContextCustomizer]
16.06.2024 11:15:20.990 [main] DEBUG  o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [D:\Java_projects\transferMoney\target\classes\com\ekimtsovss\transferMoney\TransferMoneyApplication.class]
16.06.2024 11:15:20.992 [main] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.ekimtsovss.transferMoney.TransferMoneyApplication for test class com.ekimtsovss.transferMoney.TransferMoneyApplicationTests
16.06.2024 11:15:21.111 [main] DEBUG  o.s.t.c.u.TestContextSpringFactoriesUtils - Skipping candidate TestExecutionListener [org.springframework.test.context.observation.MicrometerObservationRegistryTestExecutionListener] due to a missing dependency. Specify custom TestExecutionListener classes or make the default TestExecutionListener classes and their required dependencies available. Offending class: io.micrometer.context.ThreadLocalAccessor. MicrometerObservationRegistryTestExecutionListener requires io.micrometer:micrometer-observation:1.10.8 or higher and io.micrometer:context-propagation:1.0.3 or higher.
16.06.2024 11:15:21.121 [main] DEBUG  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners for test class [TransferMoneyApplicationTests]: [ServletTestExecutionListener, DirtiesContextBeforeModesTestExecutionListener, ApplicationEventsTestExecutionListener, MockitoTestExecutionListener, DependencyInjectionTestExecutionListener, DirtiesContextTestExecutionListener, TransactionalTestExecutionListener, SqlScriptsTestExecutionListener, EventPublishingTestExecutionListener, ResetMocksTestExecutionListener, RestDocsTestExecutionListener, MockRestServiceServerResetTestExecutionListener, MockMvcPrintOnlyOnFailureTestExecutionListener, WebDriverTestExecutionListener, MockWebServiceServerTestExecutionListener]
16.06.2024 11:15:21.122 [main] DEBUG  o.s.t.c.s.DirtiesContextBeforeModesTestExecutionListener - Before test class: class [TransferMoneyApplicationTests], class annotated with @DirtiesContext [false] with mode [null]
16.06.2024 11:15:21.352 [main] INFO   c.e.t.TransferMoneyApplicationTests - Starting TransferMoneyApplicationTests using Java 17.0.10 with PID 23252 (started by ekimt in D:\Java_projects\transferMoney)
16.06.2024 11:15:21.352 [main] DEBUG  c.e.t.TransferMoneyApplicationTests - Running with Spring Boot v3.1.11, Spring v6.0.19
